WORKING_HOUR,NET,AUTORUN_EDITS,EXISTS_IN_AUTORUN,CRYPT_DLLS_LOADED,FILES_WRITTEN,AVG_WRITTEN_ENTROPY,ELEVATED,AVG_WRITES_FILES,QUERY_DIRECTORY,KILL_DEFENSE,DELETE_BACKUP
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,1,0,0,4,1,0,152,0,0
0,1010122,0,1,0,0,4,1,0,180,0,0
0,138451547,0,1,0,0,4,1,0,0,0,0
0,48859892,0,1,0,0,4,1,0,0,0,0
0,237064229,0,1,0,0,4,1,0,0,0,0
0,219473111,0,1,0,0,4,1,0,0,0,0
0,705421669,0,1,0,0,4,1,0,0,0,0
0,231212610,0,1,0,15,7.925344164,1,1,0,0,0
0,0,0,1,0,99,7.975027067,1,3.739130435,0,0,0
0,0,0,1,0,29,7.999848166,1,7.875,0,0,0
0,0,0,1,0,19,7.999991548,1,23.5,0,0,0
0,0,0,1,0,12,8,1,1,0,0,0
0,0,0,1,0,18,7.999933304,1,39.25,0,0,0
0,0,0,1,0,27,7.999943356,1,1,0,0,0
0,0,0,1,0,44,7.999841003,1,1,0,0,0
0,0,0,1,0,35,7.987509,1,1,0,0,0
0,0,0,1,0,29,7.999848166,1,1,0,0,0
0,0,0,1,0,51,7.99995637,1,1.916666667,0,0,0
0,0,0,1,0,12,7.999716505,1,1,0,0,0
0,0,0,1,0,0,4,1,0,0,0,0
0,0,0,1,0,9,7.999999706,1,1,0,0,0
0,0,0,1,0,22,7.999328508,1,21.74,0,0,0
0,0,0,1,0,28,8,1,22.53,0,0,0
0,0,0,1,0,19,7.944490265,1,3.739130435,0,0,0
0,0,0,1,0,27,7.98878965,1,8.9848,0,0,0
0,0,0,1,0,33,7.945436,1,1.523,0,0,1
0,0,0,1,0,0,4,1,0,0,0,1
