WORKING_HOUR,NET,AUTORUN_EDITS,EXISTS_IN_AUTORUN,CRYPT_DLLS_LOADED,FILES_WRITTEN,AVG_WRITTEN_ENTROPY,ELEVATED,AVG_WRITES_FILES,QUERY_DIRECTORY,KILL_DEFENSE,DELETE_BACKUP
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,1,0,0,4,0,0,113,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,1,0,0,4,0,0,39,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,2752,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,1,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,393,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,9,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,108,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,1,1,0,4,0,0,21,0,0
0,249,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,21,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,1,1,0,4,0,0,152,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,1,0,4,1,0,72,0,0
0,2,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,9,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,1,0,4,1,0,14,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,1,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,1,0,0,4,0,0,0,0,0
0,0,0,0,1,0,4,1,0,55,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,1,0,4,1,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,0,0,0,1,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,0,0,32,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,1,0,4,1,0,72,0,0
0,0,0,1,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,32,0,0
0,0,0,0,1,0,4,1,0,44,0,0
0,0,0,0,1,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,217,0,0,0,0,4,0,0,0,0,0
0,0,0,0,1,0,4,1,0,72,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,230,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,269,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,1,0,0,0,4,1,0,0,0,0
0,313,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,12328,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,32,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,1,0,7,0,0
0,18090,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,0,0,105,0,0
0,0,0,0,1,0,4,1,0,14,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0,265,0,0,0,0,4,0,0,0,0,0
0,16482,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
