WORKING_HOUR,NET,AUTORUN_EDITS,EXISTS_IN_AUTORUN,CRYPT_DLLS_LOADED,FILES_WRITTEN,AVG_WRITTEN_ENTROPY,ELEVATED,AVG_WRITES_FILES,QUERY_DIRECTORY,KILL_DEFENSE,DELETE_BACKUP
1,0,0,0,0,0,4,1,0,0,0,0
1,0,0,0,0,0,4,1,0,0,0,0
1,0,1,1,0,0,4,1,0,0,0,0
1,0,1,1,0,0,4,1,0,137,0,0
1,0,1,1,0,0,4,1,0,15,0,0
1,161224727,1,1,0,0,4,1,0,179,0,0
1,267956918,1,1,0,0,4,1,0,0,0,0
1,373238274,1,1,0,0,4,1,0,0,0,0
1,261518127,1,1,0,0,4,1,0,0,0,0
1,748243189,1,1,0,0,4,1,0,0,0,0
1,137375560,1,1,0,15,7.952549713,1,1,0,0,0
1,0,1,1,0,92,7.984858983,1,3.739130435,0,0,0
1,0,1,1,0,29,7.936273165,1,5.368421053,0,0,0
1,0,1,1,0,31,8,1,29,0,0,0
1,0,1,1,0,32,7.999973378,1,3.25,0,0,0
1,0,1,1,0,22,7.999965218,1,15.423,0,0,0
1,0,1,1,0,31,7.999937005,1,1,0,0,0
1,0,1,1,0,40,7.999774666,1,1,0,0,0
1,0,1,1,0,33,7.999858925,1,1,0,0,0
1,0,1,1,0,26,7.999815943,1,1,0,0,0
1,0,1,1,0,19,7.999894422,1,1,0,0,0
1,0,1,1,0,25,7.999803898,1,1,0,0,0
1,0,1,1,0,33,7.999671976,1,1,0,0,0
1,0,1,1,0,0,4,1,0,0,0,0
1,0,1,1,0,21,7.999999733,1,13,0,0,0
1,0,1,1,0,43,7.999800917,1,14.3333333,0,0,0
1,0,1,1,0,34,7.999193474,1,10.25,0,0,0
1,0,1,1,0,59,7.961672622,1,2.033898305,0,0,1
1,0,1,1,0,0,4,1,0,0,0,1
