WORKING_HOUR,NET,AUTORUN_EDITS,EXISTS_IN_AUTORUN,CRYPT_DLLS_LOADED,FILES_WRITTEN,AVG_WRITTEN_ENTROPY,ELEVATED,AVG_WRITES_FILES,QUERY_DIRECTORY,KILL_DEFENSE,DELETE_BACKUP
1,0,0,0,0,0,4,1,0,0,0,0
1,0,0,0,0,0,4,1,0,0,0,0
1,0,0,1,0,0,4,1,0,0,0,0
1,0,0,1,0,0,4,1,0,152,0,0
1,104143671,0,1,0,0,4,1,0,179,0,0
1,299005380,0,1,0,0,4,1,0,0,0,0
1,419651996,0,1,0,0,4,1,0,0,0,0
1,236062723,0,1,0,0,4,1,0,0,0,0
1,748243445,0,1,0,0,4,1,0,0,0,0
1,137375304,0,1,0,5,7.94826559,1,1,0,0,0
1,0,0,1,0,92,7.985529425,1,3.739130435,0,0,0
1,0,0,1,0,19,7.933560095,1,5.368421053,0,0,0
1,0,0,1,0,0,4,1,0,0,0,0
1,0,0,1,0,8,7.999976188,1,7.875,0,0,0
1,0,0,1,0,5,7.999973276,1,1,0,0,0
1,0,0,1,0,21,7.999942638,1,15.57142857,0,0,0
1,0,0,1,0,43,7.999791672,1,1,0,0,0
1,0,0,1,0,38,7.99986486,1,1,0,0,0
1,0,0,1,0,34,7.999818744,1,1,0,0,0
1,0,0,1,0,29,7.999877583,1,1,0,0,0
1,0,0,1,0,40,7.99971745,1,1,0,0,0
1,0,0,1,0,4,7.999651944,1,1,0,0,0
1,0,0,1,0,0,4,1,0,0,0,0
1,0,0,1,0,1,7.999999723,1,1097,0,0,0
1,0,0,1,0,3,7.999836223,1,509.6666667,0,0,0
1,0,0,1,0,3,7.998867526,1,10,0,0,0
1,0,0,1,0,29,7.99643749,1,9.896551724,0,0,0
1,0,0,1,0,30,7.926735438,1,1.466666667,0,0,1
1,0,0,1,0,0,4,1,0,0,0,1
