NET,AUTORUN_EDITS,EXISTS_IN_AUTORUN,FILES_WRITTEN,AVG_WRITTEN_ENTROPY,ELEVATED,AVG_WRITES_FILES,QUERY_DIRECTORY
95,0,0,0,4,0,0,0
0,0,0,0,4,1,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
2,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
2,0,0,0,4,0,0,0
0,0,0,0,4,1,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,1,0,4,0,0,0
0,0,0,0,4,0,0,4
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
5202,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,31
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,1,5.099995771,0,1,12
0,0,0,0,4,1,0,7
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
212,0,0,0,4,0,0,25
0,0,0,0,4,0,0,4
0,0,0,0,4,0,0,10
0,0,0,0,4,1,0,6
18998,1,0,2,4,0,2.5,336
0,0,0,0,4,0,0,0
0,0,0,0,4,1,0,0
0,1,0,0,4,0,0,17
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,32
0,0,0,0,4,0,0,0
19972,1,0,0,4,0,0,57
0,1,0,0,4,0,0,0
0,0,0,0,4,0,0,0
169,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
2,0,0,0,4,0,0,0
0,1,0,0,4,0,0,4
4261,1,0,0,4,0,0,3
2,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,1,0,0,4,0,0,4
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,1,0,0,4,0,0,8
1038,1,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,1,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
169,0,0,0,4,0,0,0
50,0,0,0,4,0,0,22
0,0,0,0,4,0,0,20
5508,1,0,0,4,0,0,9
0,0,0,0,4,0,0,0
0,1,0,0,4,0,0,0
0,0,0,0,4,0,0,515
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,1,0,0,4,0,0,8
0,1,0,0,4,0,0,1
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,4
1350,0,0,0,4,0,0,0
0,0,0,0,4,1,0,6
